Unnamed: 0,realSum,room_type,room_private,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index_norm,rest_index_norm
931,205.22170020802656,Entire home/apt,False,4.0,True,10.0,98.0,1,4.483335177816113,0.3226867959245005,6.844687924174521,2.297757264687593
932,250.33307622186385,Entire home/apt,False,3.0,False,10.0,93.0,1,0.3582259703000381,0.1323428653783426,20.053115115123,20.215532243245963
933,666.619919126756,Entire home/apt,False,4.0,True,9.0,99.0,1,2.1114007651178723,0.5485530902896399,7.572642879637267,3.929989047205724
934,312.9747797022182,Entire home/apt,False,3.0,True,10.0,98.0,0,1.267849617373458,0.4113476580367345,9.783122099306697,5.4600223142907565
935,278.3816001682912,Entire home/apt,False,3.0,False,8.0,80.0,0,4.064837518000344,0.2072671376341238,4.546747376955674,2.037590872162609
936,240.9835682397214,Entire home/apt,False,2.0,False,10.0,100.0,1,4.333823261361196,1.3041427463868238,4.108885677594572,2.028989696087194
937,159.87658649463572,Private room,True,2.0,False,10.0,97.0,1,5.295676785803071,0.3285961519147113,11.983724951809007,2.032521469139814
938,322.5580253839142,Entire home/apt,False,6.0,False,10.0,94.0,2,2.9694686554321974,0.2111716458892646,7.748292872073398,3.754387245337767
939,230.2316340602576,Entire home/apt,False,4.0,False,10.0,95.0,1,4.10337294644904,0.3936227692823307,4.26305724325398,2.0497713988117816
940,180.9129794544562,Entire home/apt,False,3.0,True,10.0,95.0,2,4.231555158269775,1.004888906809346,4.096240150433972,2.053477074832791
941,157.5392094991001,Entire home/apt,False,3.0,True,10.0,98.0,1,5.650571964744013,2.705504051026962,3.3284736307301777,1.6052178156083692
942,285.1599934553444,Entire home/apt,False,5.0,False,10.0,85.0,1,2.704029520162156,0.3338780318574104,6.383799728625792,2.988839026726427
943,136.73655423883318,Private room,True,4.0,True,10.0,94.0,1,6.247860813199697,0.9118444865511875,4.875227191479186,1.5844269287303103
944,111.25914498749503,Private room,True,2.0,False,8.0,86.0,1,3.6167035911836023,0.683898773429505,6.563596125185193,2.7855792694246704
945,171.79720917186734,Private room,True,3.0,True,10.0,97.0,1,3.6193220151523087,0.6411566258359311,4.771918493001608,2.412919948512366
946,508.84697192810233,Entire home/apt,False,5.0,True,10.0,98.0,2,2.010362595114993,0.5715326173322837,9.865170066241989,5.135390839635096
947,191.1974382348129,Private room,True,4.0,True,9.0,90.0,1,3.436267422285252,0.4670883460986364,4.979041984098863,2.639319370834236
948,765.2572283383587,Entire home/apt,False,6.0,False,9.0,90.0,3,1.5822396374988554,0.2391790157834867,12.705405006636177,6.255396279270142
949,191.43117593436645,Entire home/apt,False,2.0,False,10.0,97.0,1,3.374212819700208,0.8064929858646873,5.431777121589089,2.723402332879392
950,266.4609774910596,Entire home/apt,False,4.0,False,10.0,97.0,1,2.989549320296552,0.2226148196285883,7.651097066490026,3.6523121975761055
951,405.7686464249819,Entire home/apt,False,3.0,True,10.0,100.0,1,2.6936802444227377,0.2099859057782665,7.341950754208636,3.733680674881044
952,162.21396349017135,Private room,True,2.0,False,8.0,84.0,1,1.8252918287168256,0.5548244196227055,10.32125484516679,5.212498779549915
953,121.54360376785172,Private room,True,2.0,False,9.0,95.0,1,5.426787407129048,0.7928261622809492,4.446940332084166,1.8217547657724495
954,171.79720917186734,Private room,True,2.0,True,10.0,98.0,1,2.709561522751654,0.1144278174881494,6.671112531634988,3.398737744993903
955,180.67924175490265,Private room,True,2.0,False,9.0,92.0,1,2.285137868779026,0.256430569670036,8.211995749353942,4.179494509793474
956,217.84353598391883,Entire home/apt,False,4.0,False,8.0,88.0,1,3.602350774005849,1.034686170782427,5.882027779522643,2.5771818068107835
957,348.0354346352524,Entire home/apt,False,2.0,False,10.0,98.0,1,5.49971389981458,1.049507733203897,3.2293557827559507,1.7105219075517208
958,157.77294719865367,Entire home/apt,False,2.0,False,10.0,89.0,1,2.786837795931589,0.3140372160461689,6.673855893706349,3.440587675306432
959,280.4852394642732,Entire home/apt,False,4.0,False,10.0,93.0,1,2.593314982311117,0.3348593551312416,8.372230644953767,4.37067243103609
960,280.4852394642732,Entire home/apt,False,4.0,False,10.0,70.0,1,2.7593402013086576,0.5209437376433866,7.884474684908762,3.915935908232018
961,200.54694621695532,Entire home/apt,False,4.0,False,10.0,100.0,1,10.468443507288516,0.5560292841913302,2.2449208902833027,0.8716376485399198
962,136.73655423883318,Private room,True,2.0,False,9.0,95.0,1,5.233909500600299,0.5060107182566447,6.216008772525675,1.9337258842790868
963,173.9008484678494,Private room,True,2.0,False,9.0,94.0,1,11.939025359274094,3.7290881561829448,1.9467362262348928,0.775744896977073
964,187.92511044106303,Entire home/apt,False,4.0,False,8.0,86.0,1,2.787399114345573,0.2574165939196228,6.057302073941771,3.101197899747261
965,208.49402800177643,Entire home/apt,False,5.0,False,9.0,96.0,1,2.7769262787156235,0.168425099689575,6.54679237774489,3.3839571172010063
